sample	height	length	width	weight	loc	type	date
17_13	243.3 	93.9 	44.3 	664.5 	Dongying	Northern_Cari	2020_4
17_14	311.5 	102.1 	53.9 	1001.2 	Dongying	Northern_Cari	2020_4
17_15	300.6 	83.8 	54.2 	848.6 	Dongying	Northern_Cari	2020_4
17_16	247.3 	97.9 	57.0 	731.8 	Dongying	Northern_Cari	2020_4
17_17	242.7 	98.0 	57.0 	882.0 	Dongying	Northern_Cari	2020_4
17_18	194.8 	97.7 	57.3 	760.2 	Dongying	Northern_Cari	2020_4
17_19	222.6 	118.2 	53.0 	849.5 	Dongying	Northern_Cari	2020_4
17_2	262.5 	94.5 	54.5 	779.7 	Dongying	Northern_Cari	2020_4
17_3	177.2 	83.8 	57.5 	554.5 	Dongying	Northern_Cari	2020_4
17_4	311.5 	87.8 	56.8 	964.4 	Dongying	Northern_Cari	2020_4
17_5	214.1 	86.1 	66.1 	910.5 	Dongying	Northern_Cari	2020_4
17_6	247.5 	109.2 	63.0 	763.2 	Dongying	Northern_Cari	2020_4
17_7	255.6 	102.4 	53.8 	670.2 	Dongying	Northern_Cari	2020_4
17_8	244.0 	105.4 	56.9 	945.9 	Dongying	Northern_Cari	2020_4
17_9	196.7 	87.8 	48.1 	663.7 	Dongying	Northern_Cari	2020_4
18_1	165.0 	102.2 	47.1 	422.2 	Binzhou	Northern_Cari	2020_7
18_10	117.3 	85.1 	36.7 	195.6 	Binzhou	Northern_Cari	2020_7
18_11	151.1 	83.1 	35.0 	236.9 	Binzhou	Northern_Cari	2020_7
18_12	141.2 	96.1 	48.1 	322.6 	Binzhou	Northern_Cari	2020_7
18_13	130.2 	90.9 	31.7 	244.5 	Binzhou	Northern_Cari	2020_7
18_14	163.5 	85.3 	29.0 	302.2 	Binzhou	Northern_Cari	2020_7
18_15	129.1 	79.5 	34.0 	212.0 	Binzhou	Northern_Cari	2020_7
18_16	142.0 	91.0 	43.4 	283.3 	Binzhou	Northern_Cari	2020_7
18_17	140.5 	67.0 	31.3 	191.5 	Binzhou	Northern_Cari	2020_7
18_18	141.9 	83.9 	40.2 	241.2 	Binzhou	Northern_Cari	2020_7
18_19	144.6 	100.1 	42.9 	324.6 	Binzhou	Northern_Cari	2020_7
18_2	132.3 	85.2 	29.4 	210.7 	Binzhou	Northern_Cari	2020_7
18_20	145.7 	97.5 	30.8 	259.2 	Binzhou	Northern_Cari	2020_7
18_21	165.7 	96.3 	48.8 	428.4 	Binzhou	Northern_Cari	2020_7
18_22	141.7 	81.2 	44.2 	309.8 	Binzhou	Northern_Cari	2020_7
18_23	150.6 	80.7 	25.7 	237.7 	Binzhou	Northern_Cari	2020_7
18_24	180.5 	81.1 	34.2 	304.6 	Binzhou	Northern_Cari	2020_7
18_25	154.7 	83.0 	33.6 	279.5 	Binzhou	Northern_Cari	2020_7
18_26	137.9 	84.5 	34.6 	254.2 	Binzhou	Northern_Cari	2020_7
18_27	153.7 	75.1 	28.5 	251.4 	Binzhou	Northern_Cari	2020_7
18_28	170.8 	73.0 	32.0 	220.3 	Binzhou	Northern_Cari	2020_7
18_29	126.3 	70.9 	28.6 	177.2 	Binzhou	Northern_Cari	2020_7
18_3	161.1 	100.9 	41.0 	292.6 	Binzhou	Northern_Cari	2020_7
18_30	174.3 	75.4 	39.9 	286.7 	Binzhou	Northern_Cari	2020_7
18_31	123.3 	79.2 	34.2 	266.7 	Binzhou	Northern_Cari	2020_7
18_32	148.7 	81.6 	40.6 	270.0 	Binzhou	Northern_Cari	2020_7
18_33	123.6 	75.5 	25.0 	174.9 	Binzhou	Northern_Cari	2020_7
18_4	113.0 	80.0 	27.7 	158.3 	Binzhou	Northern_Cari	2020_7
18_6	148.6 	67.3 	40.4 	221.3 	Binzhou	Northern_Cari	2020_7
18_7	121.4 	81.7 	30.9 	167.0 	Binzhou	Northern_Cari	2020_7
18_8	155.5 	89.6 	34.8 	317.1 	Binzhou	Northern_Cari	2020_7
18_9	129.7 	92.4 	44.7 	304.7 	Binzhou	Northern_Cari	2020_7
19_1	305.6 	91.3 	47.6 	923.3 	Dongying	Northern_Cari	2020_7
19_10	241.7 	94.0 	60.1 	922.4 	Dongying	Northern_Cari	2020_7
19_11	271.2 	107.0 	75.8 	1396.1 	Dongying	Northern_Cari	2020_7
19_12	254.1 	106.9 	56.2 	878.3 	Dongying	Northern_Cari	2020_7
